name,maxEvolutionLevel,elixirCost,iconUrls,evolutionIcons,rarity,type,mobility,targets,attack_type,groupCard,usage,hitpoints
Ice Spirit,1.0,1.0,https://api-assets.clashroyale.com/cards/300/lv1budiafU9XmSdrDkk0NYyqASAFYyZ06CPysXKZXlA.png,https://api-assets.clashroyale.com/cardevolutions/300/lv1budiafU9XmSdrDkk0NYyqASAFYyZ06CPysXKZXlA.png,common,troop,ground,ground,single,False,20.64,230.0
Ice Wizard,,3.0,https://api-assets.clashroyale.com/cards/300/W3dkw0HTw9n1jB-zbknY2w3wHuyuLxSRIAV5fUT1SEY.png,,legendary,troop,ground,both,splash,False,7.2,688.0
Inferno Dragon,1.0,4.0,https://api-assets.clashroyale.com/cards/300/y5HDbKtTbWG6En6TGWU0xoVIGs1-iQpIP4HC-VM7u8A.png,https://api-assets.clashroyale.com/cardevolutions/300/y5HDbKtTbWG6En6TGWU0xoVIGs1-iQpIP4HC-VM7u8A.png,legendary,troop,flying,both,splash,False,8.16,1295.0
Inferno Tower,,5.0,https://api-assets.clashroyale.com/cards/300/GSHY_wrooMMLET6bG_WJB8redtwx66c4i80ipi4gYOM.png,,rare,building,ground,both,single,False,7.6,1748.0
Knight,1.0,3.0,https://api-assets.clashroyale.com/cards/300/jAj1Q5rclXxU9kVImGqSJxa4wEMfEhvwNQ_4jiGUuqg.png,https://api-assets.clashroyale.com/cardevolutions/300/jAj1Q5rclXxU9kVImGqSJxa4wEMfEhvwNQ_4jiGUuqg.png,common,troop,ground,ground,single,False,8.88,1766.0
Lava Hound,,7.0,https://api-assets.clashroyale.com/cards/300/unicRQ975sBY2oLtfgZbAI56ZvaWz7azj-vXTLxc0r8.png,,legendary,troop,flying,buildings,single,False,2.4,3581.0
Lightning,,6.0,https://api-assets.clashroyale.com/cards/300/fpnESbYqe5GyZmaVVYe-SEu7tE0Kxh_HZyVigzvLjks.png,,epic,spell,ground,both,splash,False,7.04,
Little Prince,,3.0,https://api-assets.clashroyale.com/cards/300/dY-gSseki6KBpkIG17safHH5YlB8SErFZO9OXbJxf9w.png,,champion,troop,ground,ground,single,False,1.76,698.0
Lumberjack,1.0,4.0,https://api-assets.clashroyale.com/cards/300/E6RWrnCuk13xMX5OE1EQtLEKTZQV6B78d00y8PlXt6Q.png,https://api-assets.clashroyale.com/cardevolutions/300/E6RWrnCuk13xMX5OE1EQtLEKTZQV6B78d00y8PlXt6Q.png,legendary,troop,ground,buildings,single,False,4.32,1282.0
Magic Archer,,4.0,https://api-assets.clashroyale.com/cards/300/Avli3W7BxU9HQ2SoLiXnBgGx25FoNXUSFm7OcAk68ek.png,,legendary,troop,ground,both,splash,False,4.08,529.0
Mega Knight,1.0,7.0,https://api-assets.clashroyale.com/cards/300/O2NycChSNhn_UK9nqBXUhhC_lILkiANzPuJjtjoz0CE.png,https://api-assets.clashroyale.com/cardevolutions/300/O2NycChSNhn_UK9nqBXUhhC_lILkiANzPuJjtjoz0CE.png,legendary,troop,ground,ground,single,False,5.04,3993.0
Mega Minion,,3.0,https://api-assets.clashroyale.com/cards/300/-T_e4YLbuhPBKbYnBwQfXgynNpp5eOIN_0RracYwL9c.png,,rare,troop,flying,both,single,False,3.28,837.0
Mighty Miner,,4.0,https://api-assets.clashroyale.com/cards/300/Cd9R56yraxTvJiD8xJ2qT2OdsHyh94FqOAarXpbyelo.png,,champion,troop,ground,ground,single,False,4.24,2250.0
Miner,,3.0,https://api-assets.clashroyale.com/cards/300/Y4yWvdwBCg2FpAZgs8T09Gy34WOwpLZW-ttL52Ae8NE.png,,legendary,troop,ground,ground,single,False,8.0,1210.0
Mini P.E.K.K.A,,4.0,https://api-assets.clashroyale.com/cards/300/Fmltc4j3Ve9vO_xhHHPEO3PRP3SmU2oKp2zkZQHRZT4.png,,rare,troop,ground,ground,single,False,7.36,1361.0
Minion Horde,,5.0,https://api-assets.clashroyale.com/cards/300/Wyjq5l0IXHTkX9Rmpap6HaH08MvjbxFp1xBO9a47YSI.png,,common,troop,flying,both,single,True,1.44,230.0
Minions,,3.0,https://api-assets.clashroyale.com/cards/300/yHGpoEnmUWPGV_hBbhn-Kk-Bs838OjGzWzJJlQpQKQA.png,,common,troop,flying,both,single,True,2.88,230.0
Mirror,,,https://api-assets.clashroyale.com/cards/300/wC6Cm9rKLEOk72zTsukVwxewKIoO4ZcMJun54zCPWvA.png,,epic,spell,both,both,,False,1.84,
Monk,,5.0,https://api-assets.clashroyale.com/cards/300/2onG4t4-CxqwFVZAn6zpWxFz3_mG2ksSj4Q7zldo1SM.png,,champion,troop,ground,ground,single,False,2.32,2150.0
Mortar,1.0,4.0,https://api-assets.clashroyale.com/cards/300/lPOSw6H7YOHq2miSCrf7ZDL3ANjhJdPPDYOTujdNrVE.png,https://api-assets.clashroyale.com/cardevolutions/300/lPOSw6H7YOHq2miSCrf7ZDL3ANjhJdPPDYOTujdNrVE.png,common,building,ground,buildings,splash,False,0.32,1369.0
Mother Witch,,4.0,https://api-assets.clashroyale.com/cards/300/fO-Xah8XZkYKaSK9SCp3wnzwxtvIhun9NVY-zzte1Ng.png,,legendary,troop,ground,ground,single,False,2.0,529.0
Musketeer,1.0,4.0,https://api-assets.clashroyale.com/cards/300/Tex1C48UTq9FKtAX-3tzG0FJmc9jzncUZG3bb5Vf-Ds.png,https://api-assets.clashroyale.com/cardevolutions/300/Tex1C48UTq9FKtAX-3tzG0FJmc9jzncUZG3bb5Vf-Ds.png,rare,troop,ground,both,single,False,5.12,721.0
Night Witch,,4.0,https://api-assets.clashroyale.com/cards/300/NpCrXDEDBBJgNv9QrBAcJmmMFbS7pe3KCY8xJ5VB18A.png,,legendary,troop,ground,both,single,False,3.12,906.0
P.E.K.K.A,1.0,7.0,https://api-assets.clashroyale.com/cards/300/MlArURKhn_zWAZY-Xj1qIRKLVKquarG25BXDjUQajNs.png,https://api-assets.clashroyale.com/cardevolutions/300/MlArURKhn_zWAZY-Xj1qIRKLVKquarG25BXDjUQajNs.png,epic,troop,ground,ground,single,False,3.28,3760.0
Phoenix,,4.0,https://api-assets.clashroyale.com/cards/300/i0RoY1fs6ay7VAxyFEfZGIPnD002nAKcne9FtJsWBHM.png,,legendary,troop,flying,both,single,False,1.6,1052.0
Poison,,4.0,https://api-assets.clashroyale.com/cards/300/98HDkG2189yOULcVG9jz2QbJKtfuhH21DIrIjkOjxI8.png,,epic,spell,ground,both,splash,False,7.44,
Prince,,5.0,https://api-assets.clashroyale.com/cards/300/3JntJV62aY0G1Qh6LIs-ek-0ayeYFY3VItpG7cb9I60.png,,epic,troop,ground,ground,single,False,9.92,1920.0
Princess,,3.0,https://api-assets.clashroyale.com/cards/300/bAwMcqp9EKVIKH3ZLm_m0MqZFSG72zG-vKxpx8aKoVs.png,,legendary,troop,ground,both,splash,False,9.92,261.0
Rage,,2.0,https://api-assets.clashroyale.com/cards/300/bGP21OOmcpHMJ5ZA79bHVV2D-NzPtDkvBskCNJb7pg0.png,,epic,spell,ground,both,splash,False,8.48,
Ram Rider,,5.0,https://api-assets.clashroyale.com/cards/300/QaJyerT7f7oMyZ3Fv1glKymtLSvx7YUXisAulxl7zRI.png,,legendary,troop,ground,buildings,single,False,3.2,1697.0
Rascals,,5.0,https://api-assets.clashroyale.com/cards/300/KV48DfwVHKx9XCjzBdk3daT_Eb52Me4VgjVO7WctRc4.png,,common,troop,ground,ground,single,True,1.36,2201.0
Rocket,,6.0,https://api-assets.clashroyale.com/cards/300/Ie07nQNK9CjhKOa4-arFAewi4EroqaA-86Xo7r5tx94.png,,rare,spell,ground,both,splash,False,7.44,
Royal Delivery,,3.0,https://api-assets.clashroyale.com/cards/300/LPg7AGjGI3_xmi7gLLgGC50yKM1jJ2teWkZfoHJcIZo.png,,common,spell,ground,both,splash,False,4.0,787.0
Royal Ghost,1.0,3.0,https://api-assets.clashroyale.com/cards/300/3En2cz0ISQAaMTHY3hj3rTveFN2kJYq-H4VxvdJNvCM.png,https://api-assets.clashroyale.com/cardevolutions/300/3En2cz0ISQAaMTHY3hj3rTveFN2kJYq-H4VxvdJNvCM.png,legendary,troop,ground,ground,single,False,5.52,1210.0
Royal Giant,1.0,6.0,https://api-assets.clashroyale.com/cards/300/mnlRaNtmfpQx2e6mp70sLd0ND-pKPF70Cf87_agEKg4.png,https://api-assets.clashroyale.com/cardevolutions/300/mnlRaNtmfpQx2e6mp70sLd0ND-pKPF70Cf87_agEKg4.png,common,troop,ground,buildings,single,False,0.72,3164.0
Royal Hogs,,5.0,https://api-assets.clashroyale.com/cards/300/ASSQJG_MoVq9e81HZzo4bynMnyLNpNJMfSLb3hqydOw.png,,rare,troop,ground,ground,single,True,4.48,837.0
Royal Recruits,1.0,7.0,https://api-assets.clashroyale.com/cards/300/jcNyYGUiXXNz3kuz8NBkHNKNREQKraXlb_Ts7rhCIdM.png,https://api-assets.clashroyale.com/cardevolutions/300/jcNyYGUiXXNz3kuz8NBkHNKNREQKraXlb_Ts7rhCIdM.png,common,troop,ground,ground,single,True,0.96,787.0
Rune Giant,,4.0,https://api-assets.clashroyale.com/cards/300/UogMnGHQXT-TOVXRxslKdAKXUPhqUvrD_hV9x8lbzdE.png,,epic,troop,ground,ground,single,False,0.32,2508.0
Skeleton Army,1.0,3.0,https://api-assets.clashroyale.com/cards/300/fAOToOi1pRy7svN2xQS6mDkhQw2pj9m_17FauaNqyl4.png,https://api-assets.clashroyale.com/cardevolutions/300/fAOToOi1pRy7svN2xQS6mDkhQw2pj9m_17FauaNqyl4.png,epic,troop,ground,ground,single,True,6.8,81.0
Skeleton Barrel,1.0,3.0,https://api-assets.clashroyale.com/cards/300/vCB4DWCcrGbTkarjcOiVz4aNDx6GWLm0yUepg9E1MGo.png,https://api-assets.clashroyale.com/cardevolutions/300/vCB4DWCcrGbTkarjcOiVz4aNDx6GWLm0yUepg9E1MGo.png,common,troop,ground,buildings,single,False,5.36,532.0
Skeleton Dragons,,4.0,https://api-assets.clashroyale.com/cards/300/qPOtg9uONh47_NLxGhhFc_ww9PlZ6z3Ry507q1NZUXs.png,,common,troop,flying,both,single,True,2.72,560.0
Skeleton King,,4.0,https://api-assets.clashroyale.com/cards/300/dCd69_wN9f8DxwuqOGtR4QgWhHIPIaTNxZ1e23RzAAc.png,,champion,troop,ground,ground,splash,False,3.68,2298.0
Skeletons,1.0,1.0,https://api-assets.clashroyale.com/cards/300/oO7iKMU5m0cdxhYPZA3nWQiAUh2yoGgdThLWB1rVSec.png,https://api-assets.clashroyale.com/cardevolutions/300/oO7iKMU5m0cdxhYPZA3nWQiAUh2yoGgdThLWB1rVSec.png,common,troop,ground,ground,single,True,14.56,81.0
Sparky,,6.0,https://api-assets.clashroyale.com/cards/300/2GKMkBrArZXgQxf2ygFjDs4VvGYPbx8F6Lj_68iVhIM.png,,legendary,troop,ground,ground,single,False,3.12,1451.0
Spear Goblins,,2.0,https://api-assets.clashroyale.com/cards/300/FSDFotjaXidI4ku_WFpVCTWS1hKGnFh1sxX0lxM43_E.png,,common,troop,ground,both,single,True,4.0,133.0
Suspicious Bush,,2.0,https://api-assets.clashroyale.com/cards/300/vqTzGAjseQv9F5rf4tsFWeocvg0dyPw1j_nB1cmDZfI.png,,rare,troop,ground,ground,single,False,1.12,81.0
Tesla,1.0,4.0,https://api-assets.clashroyale.com/cards/300/OiwnGrxFMNiHetYEerE-UZt0L_uYNzFY7qV_CA_OxR4.png,https://api-assets.clashroyale.com/cardevolutions/300/OiwnGrxFMNiHetYEerE-UZt0L_uYNzFY7qV_CA_OxR4.png,common,building,ground,both,single,False,8.64,1152.0
The Log,,2.0,https://api-assets.clashroyale.com/cards/300/_iDwuDLexHPFZ_x4_a0eP-rxCS6vwWgTs6DLauwwoaY.png,,legendary,spell,ground,both,splash,False,42.88,
Three Musketeers,,9.0,https://api-assets.clashroyale.com/cards/300/_J2GhbkX3vswaFk1wG-dopwiHyNc_YiPhwroiKF3Mek.png,,rare,troop,ground,ground,splash,True,0.72,721.0
Tombstone,,3.0,https://api-assets.clashroyale.com/cards/300/LjSfSbwQfkZuRJY4pVxKspZ-a0iM5KAhU8w-a_N5Z7Y.png,,rare,building,ground,ground,single,False,2.56,529.0
Tornado,,3.0,https://api-assets.clashroyale.com/cards/300/QJB-QK1QJHdw4hjpAwVSyZBozc2ZWAR9pQ-SMUyKaT0.png,,epic,spell,ground,both,splash,False,13.52,
Valkyrie,1.0,4.0,https://api-assets.clashroyale.com/cards/300/0lIoYf3Y_plFTzo95zZL93JVxpfb3MMgFDDhgSDGU9A.png,https://api-assets.clashroyale.com/cardevolutions/300/0lIoYf3Y_plFTzo95zZL93JVxpfb3MMgFDDhgSDGU9A.png,rare,troop,ground,ground,splash,False,3.04,1907.0
Vines,,3.0,https://api-assets.clashroyale.com/cards/300/V5sJlPuo2WBRtirJ1lGEPJA4NvQ0KPwFeMrpxLX5z_8.png,,epic,spell,ground,both,splash,False,,
Void,,3.0,https://api-assets.clashroyale.com/cards/300/BykyeWDqzn4PlHSszu3NbrXT1mHxW2EA8vHbQGR5LDE.png,,epic,spell,ground,both,splash,False,0.8,
Wall Breakers,1.0,2.0,https://api-assets.clashroyale.com/cards/300/_xPphEfC8eEwFNrfU3cMQG9-f5JaLQ31ARCA7l3XtW4.png,https://api-assets.clashroyale.com/cardevolutions/300/_xPphEfC8eEwFNrfU3cMQG9-f5JaLQ31ARCA7l3XtW4.png,epic,troop,ground,buildings,single,True,7.12,330.0
Witch,1.0,5.0,https://api-assets.clashroyale.com/cards/300/cfwk1vzehVyHC-uloEIH6NOI0hOdofCutR5PyhIgO6w.png,https://api-assets.clashroyale.com/cardevolutions/300/cfwk1vzehVyHC-uloEIH6NOI0hOdofCutR5PyhIgO6w.png,epic,troop,ground,both,splash,False,5.12,839.0
Wizard,1.0,5.0,https://api-assets.clashroyale.com/cards/300/Mej7vnv4H_3p_8qPs_N6_GKahy6HDr7pU7i9eTHS84U.png,https://api-assets.clashroyale.com/cardevolutions/300/Mej7vnv4H_3p_8qPs_N6_GKahy6HDr7pU7i9eTHS84U.png,rare,troop,ground,both,splash,False,2.72,755.0
X-Bow,,6.0,https://api-assets.clashroyale.com/cards/300/zVQ9Hme1hlj9Dc6e1ORl9xWwglcSrP7ejow5mAhLUJc.png,,epic,building,ground,buildings,single,False,3.04,1600.0
Zap,1.0,2.0,https://api-assets.clashroyale.com/cards/300/7dxh2-yCBy1x44GrBaL29vjqnEEeJXHEAlsi5g6D1eY.png,https://api-assets.clashroyale.com/cardevolutions/300/7dxh2-yCBy1x44GrBaL29vjqnEEeJXHEAlsi5g6D1eY.png,common,spell,ground,both,splash,False,11.36,
Zappies,,4.0,https://api-assets.clashroyale.com/cards/300/QZfHRpLRmutZbCr5fpLnTpIp89vLI6NrAwzGZ8tHEc4.png,,rare,troop,ground,ground,single,True,1.28,529.0
